bearing,obs_index,n_obs_bearing,rul_min,h_rms,h_std,h_p2p,h_crest,h_skew,h_kurtosis,h_energy,h_spec_centroid,h_spec_entropy,h_band_low,h_band_mid,h_band_high,v_rms,v_std,v_p2p,v_crest,v_skew,v_kurtosis,v_energy,v_spec_centroid,v_spec_entropy,v_band_low,v_band_mid,v_band_high
Bearing1_1,0,2803,467.0,0.56174565773522,0.5617349696566,3.7729999999999997,3.5781317974110936,-0.00471106707861808,-0.13146502800822502,807.828951,3717.837865908928,0.7374108832586528,0.03586049776393457,0.840488590704694,0.12356493761843142,0.4358014232064301,0.4357973627354662,3.16,3.650745305726953,0.002713478645300573,-0.035080446138692434,486.202574,6359.052750343581,0.8892549370681191,0.012540842135222345,0.34755658450729915,0.6398326255482215
Bearing1_1,1,2803,466.8333333333333,0.5351124962040692,0.5350830949542877,3.64,3.5786867501402924,-0.025790578706309842,-0.08464601425819573,733.044182,3569.2869255782725,0.771654228877847,0.042576250644246624,0.8533810261932339,0.10390920087335805,0.42096838323976304,0.4209673549283902,3.175,3.9575418637820303,0.0773801071770761,0.1506204896715504,453.668812,6239.990468053025,0.8974931059680687,0.013409839620680167,0.3743569375806351,0.6122326514597417
Bearing1_1,2,2803,466.6666666666667,0.5311582520039343,0.5311416804838064,3.677,3.578971037027058,-0.0050161123740306915,0.033388410188488926,722.2504670000001,3672.231845038782,0.7567401927468296,0.03435584106273011,0.8407412319788695,0.12480422330609217,0.4256053377433429,0.42559950332881513,2.9370000000000003,3.7217578341444946,-0.024392998051301348,-0.06155153026894755,463.71815300000003,6557.324636979167,0.8879623325565488,0.011658004111988756,0.31259644476666404,0.6755924600128791
Bearing1_1,3,2803,466.5,0.5548331836856462,0.5548301847815259,3.788,3.4424761462756264,-0.08016503228531406,0.043419077254756466,788.0700459999999,3712.552005954473,0.7477889787739375,0.03816984303783469,0.8385071120905938,0.123321706328099,0.44552422116044943,0.44552382499428994,2.9480000000000004,3.591275005952554,-0.008190013669393986,-0.11331922192357613,508.13908900000007,6399.725763684083,0.896554969954441,0.010556716209738535,0.3386550400179929,0.6506845416176569
Bearing1_1,4,2803,466.3333333333333,0.5666517824714973,0.5666459015203483,3.4269999999999996,3.1183172005443756,-0.03418650780164901,-0.1854766545515223,822.0012610000001,3721.885748930802,0.7422100290857069,0.052989422373446185,0.8305140824644567,0.11632623685513344,0.4238468772925253,0.42373083087587515,2.717,3.239377410942679,0.08121324121779538,-0.03481642388596429,459.894209,6519.570488229122,0.9010426530091372,0.014413698104372456,0.317015548393923,0.6684444587930761
Bearing1_1,5,2803,466.1666666666667,0.5441830046759316,0.5441824894597072,3.712,3.4179678233568787,0.02618944444350269,0.1077758419984054,758.105965,3633.8882996878688,0.7719699532565802,0.04980897378177787,0.8319658407569073,0.11804013357210293,0.4326515648446218,0.4326181951004068,2.806,3.3745399731174666,0.065272202467614,-0.12433987473936181,479.199684,6404.741030041048,0.9062168791702091,0.013201510751766964,0.3431238397004988,0.6435044057321885
Bearing1_1,6,2803,466.0,0.5287003038850319,0.5284721179661429,3.499,3.5445411818933046,0.03624490713702037,-0.0016158081089243659,715.581469,3732.0672305392,0.7822060045163146,0.05914132027381823,0.7877617533560146,0.1530613988956414,0.4493151433536099,0.4493151381534689,3.239,3.6811579232670244,-0.040268689734768805,-0.07940090103783781,516.823291,6259.281223956045,0.8899541229140375,0.01515806762495304,0.32211495066652424,0.6625663445035342
Bearing1_1,7,2803,465.8333333333333,0.5403942144687062,0.540392926830702,3.824,3.5807193122939225,0.031212405881159252,0.1100947076589569,747.5863220000001,3777.47539010785,0.7705461713326834,0.04114757935721976,0.8384743944545794,0.11998585106958291,0.43756768940645063,0.4375670913707789,3.477,4.515872738867884,-0.02507257832741546,0.1625979167937266,490.15163600000005,6552.07351960749,0.8982417863057601,0.014040097270389944,0.3120441925184988,0.6734058263978235
Bearing1_1,8,2803,465.6666666666667,0.5663791102118572,0.5663100665530674,4.122,3.7095294690761276,0.01954459033135131,0.21793491959247557,821.2103589999999,3795.1609049314648,0.7353634906357861,0.02700260072705553,0.856062508041082,0.11689725025002332,0.44902617111227494,0.4489708719911397,3.2880000000000003,3.814922403646891,0.08892549483427521,0.14419538554557798,516.158726,6350.987744896686,0.9002242953310216,0.009624309854904504,0.3336784377554091,0.6566159968305443
Bearing1_1,9,2803,465.5,0.5335543841628283,0.5335543745707898,3.3979999999999997,3.257399904467101,0.0010962782067856093,0.15173869985431088,728.7815189999999,3842.2923332904697,0.7709881572765146,0.03868949452799686,0.8200613538646732,0.14113094865810275,0.45341875779666974,0.453405724302115,3.2249999999999996,3.6169654911706113,-0.022659842042708225,0.07094864897531705,526.3067390000001,6632.1143857279185,0.8982225860898743,0.010530557171138556,0.30563544991225877,0.6838156540365719
